Search keyword
All time
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
a delivery service,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery service,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
affordable delivery professionals,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery professionals,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
affordable delivery scheduling,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery scheduling,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
affordable delivery service,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery service,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
affordable furniture delivery,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
affordable preferred delivery,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,preferred delivery,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
affordable premium delivery,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,premium,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best delivery service,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery service,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best efficient delivery services,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best preferred delivery service,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,preferred delivery,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best premium delivery service,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,premium,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
commercial movers,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,movers,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
convenient delivery scheduling,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery scheduling,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
cost effective furniture moving,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
customer reviewed delivery professionals,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery professionals,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
customized preferred delivery,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,preferred delivery,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery day scheduling,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery scheduling,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery efficiency scheduling,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery scheduling,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery professionals,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery professionals,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery professionals for home furniture,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery professionals,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery professionals for home moving,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery professionals,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery professionals for large items,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery professionals,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery professionals for stores,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery professionals,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery scheduling quotes,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery scheduling,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery scheduling services,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery scheduling,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery service,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery service,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
delivery service for,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery service,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
easy booking delivery service,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery service,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
easy delivery scheduling,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,delivery scheduling,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
efficient delivery,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
efficient delivery reviews,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
efficient furniture delivery,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,furniture delivery,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
efficient furniture delivery,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
efficient furniture pickup service,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
efficient home delivery service,Not eligible,rarely served; campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
efficient logistics,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
efficient logistics solutions,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
efficient moving solutions,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,efficient,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
exclusive furniture delivery,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,premium,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
expedited furniture delivery,Not eligible,campaign paused,Exact match,scap -- OTTO - Ads - Delivery Services,furniture delivery,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
